L I	L III	L II(Calc.)
-0.0360107	-0.0604248	-0.0964355
-0.0354004	-0.0601196	-0.09552
-0.0341797	-0.0601196	-0.0942993
-0.0326538	-0.0601196	-0.0927734
-0.0311279	-0.0601196	-0.0912476
-0.0302124	-0.0604248	-0.0906372
-0.0296021	-0.0604248	-0.0900269
-0.0296021	-0.0601196	-0.0897217
-0.0305176	-0.0595093	-0.0900269
-0.0320435	-0.0582886	-0.090332
-0.0335693	-0.055542	-0.0891113
-0.0344849	-0.0506592	-0.085144
-0.0344849	-0.0436401	-0.078125
-0.0323486	-0.0344849	-0.0668335
-0.0286865	-0.0238037	-0.0524902
-0.0228882	-0.0119019	-0.03479
-0.0143433	0.000305176	-0.0140381
-0.0012207	0.0115967	0.010376
0.0189209	0.0195313	0.0384521
0.0460815	0.0228882	0.0689697
0.0802612	0.020752	0.101013
0.12085	0.0134277	0.134277
0.167542	0.00213623	0.169678
0.217896	-0.012207	0.205688
0.270691	-0.0338745	0.236816
0.324402	-0.0671387	0.257263
0.375977	-0.112305	0.263672
0.420227	-0.162354	0.257874
0.449524	-0.210876	0.238647
0.45929	-0.255432	0.203857
0.447083	-0.293884	0.153198
0.412598	-0.323486	0.0891113
0.357056	-0.341492	0.015564
0.285339	-0.344238	-0.0588989
0.202026	-0.32959	-0.127563
0.114441	-0.299072	-0.184631
0.0302124	-0.255127	-0.224915
-0.0439453	-0.202637	-0.246582
-0.102844	-0.14679	-0.249634
-0.141907	-0.093689	-0.235596
-0.159607	-0.0488281	-0.208435
-0.157166	-0.0152588	-0.172424
-0.13855	0.00518799	-0.133362
-0.108337	0.0134277	-0.0949097
-0.072937	0.0100708	-0.0628662
-0.0378418	-0.00183105	-0.0396729
-0.00823975	-0.0180054	-0.0262451
0.0137329	-0.03479	-0.0210571
0.0265503	-0.0494385	-0.0228882
0.0311279	-0.0604248	-0.0292969
0.0289917	-0.0662231	-0.0372314
0.0222778	-0.0680542	-0.0457764
0.0128174	-0.0662231	-0.0534058
0.00366211	-0.0622559	-0.0585938
-0.00396729	-0.0582886	-0.0622559
-0.00915527	-0.0546265	-0.0637817
-0.0115967	-0.0518799	-0.0634766
-0.0119019	-0.0506592	-0.062561
-0.0106812	-0.0506592	-0.0613403
-0.00854492	-0.0518799	-0.0604248
-0.00610352	-0.0534058	-0.0595093
-0.00335693	-0.0552368	-0.0585938
-0.000305176	-0.0570679	-0.057373
0.00213623	-0.0582886	-0.0561523
0.00427246	-0.0592041	-0.0549316
0.00610352	-0.0592041	-0.0531006
0.00701904	-0.0585938	-0.0515747
0.00762939	-0.057373	-0.0497437
0.00854492	-0.0558472	-0.0473022
0.00946045	-0.0549316	-0.0454712
0.010376	-0.0540161	-0.0436401
0.0109863	-0.0537109	-0.0427246
0.0119019	-0.0537109	-0.0418091
0.0125122	-0.0540161	-0.0415039
0.0131226	-0.0543213	-0.0411987
0.0143433	-0.0546265	-0.0402832
0.0158691	-0.0552368	-0.0393677
0.017395	-0.0552368	-0.0378418
0.0186157	-0.0552368	-0.0366211
0.0201416	-0.055542	-0.0354004
0.0219727	-0.0558472	-0.0338745
0.0238037	-0.0561523	-0.0323486
0.0256348	-0.0561523	-0.0305176
0.0274658	-0.0561523	-0.0286865
0.0289917	-0.0561523	-0.0271606
0.0308228	-0.0561523	-0.0253296
