Stethoscope	ECG
-0.0534058	-0.0930786
-0.0372314	-0.0930786
-0.00488281	-0.0927734
0.0271606	-0.0924683
0.0537109	-0.0927734
0.0732422	-0.093689
0.0537109	-0.093689
0.0183105	-0.0933838
0	-0.0924683
-0.0125122	-0.0918579
-0.0296021	-0.0915527
-0.0296021	-0.0915527
-0.0216675	-0.0912476
-0.0112915	-0.0906372
0.000305176	-0.0897217
-0.0100708	-0.088501
-0.0131226	-0.0872803
-0.00183105	-0.0860596
0.0222778	-0.085144
0.0534058	-0.085144
0.0671387	-0.0854492
0.0518799	-0.0854492
0.0137329	-0.0848389
-0.0183105	-0.0845337
-0.027771	-0.0845337
-0.039978	-0.0845337
-0.027771	-0.0845337
-0.0088501	-0.0839233
0.0012207	-0.0827026
0.0137329	-0.0817871
-0.00946045	-0.0814819
-0.0393677	-0.0817871
-0.0695801	-0.0808716
-0.0744629	-0.0775146
-0.0167847	-0.0714111
0.0283813	-0.062561
0.0601196	-0.0512695
0.0756836	-0.0369263
0.0784302	-0.0189209
0.0759888	0.00244141
0.0186157	0.0265503
-0.0247192	0.0537109
-0.072937	0.0827026
-0.108643	0.114136
-0.0845337	0.149536
-0.0656128	0.187378
-0.0106812	0.222168
0.0479126	0.248108
0.103455	0.263062
0.158997	0.267334
0.122681	0.258789
0.0527954	0.23468
-0.0350952	0.193176
-0.111389	0.135803
-0.137939	0.0674438
-0.144348	-0.00549316
-0.105591	-0.0756836
-0.0531006	-0.137024
0.00579834	-0.184631
0.0799561	-0.214844
0.122681	-0.226135
0.150146	-0.218811
0.118103	-0.196228
0.045166	-0.162964
0.00244141	-0.124512
-0.0500488	-0.0857544
-0.0692749	-0.0518799
-0.0585938	-0.0256348
-0.0320435	-0.00854492
0.00793457	0
-0.00518799	0.000305176
-0.0567627	-0.00457764
-0.0918579	-0.012207
-0.0985718	-0.0198364
-0.0430298	-0.0268555
0.0335693	-0.0323486
0.0946045	-0.0357056
0.153198	-0.0372314
0.189514	-0.0369263
0.191956	-0.0357056
0.129395	-0.0335693
-0.00579834	-0.0314331
-0.151367	-0.0292969
-0.263062	-0.0274658
-0.310364	-0.0265503
-0.291748	-0.0253296
-0.209961	-0.0238037
-0.0912476	-0.0222778
0.0332642	-0.0210571
0.183716	-0.0204468
0.317078	-0.0195313
0.39032	-0.0177002
0.415955	-0.015564
0.335388	-0.0140381
0.169983	-0.0128174
-0.0180054	-0.0115967
-0.228577	-0.0109863
-0.398865	-0.0109863
-0.473022	-0.0112915
-0.415649	-0.0112915
-0.268555	-0.0109863
-0.116882	-0.0100708
0.0280762	-0.00915527
0.13855	-0.00823975
0.209656	-0.00701904
0.270081	-0.00457764
0.274048	-0.000915527
0.240479	0.00274658
0.178833	0.00671387
0.0869751	0.010376
-0.00518799	0.0131226
-0.109253	0.0149536
-0.202332	0.015564
-0.241089	0.0152588
-0.211487	0.0143433
-0.119324	0.0134277
-0.0262451	0.0125122
0.0540161	0.0119019
0.130615	0.0112915
0.158386	0.0115967
0.141907	0.0128174
0.0994873	0.0143433
0.0186157	0.0164795
-0.0616455	0.0195313
-0.10498	0.0228882
-0.111389	0.0253296
-0.10376	0.0274658
-0.0854492	0.0299072
-0.032959	0.0326538
0.0350952	0.03479
0.0845337	0.0363159
0.093689	0.038147
0.0802612	0.0405884
0.0665283	0.043335
0.03479	0.0457764
-0.0140381	0.0479126
-0.0567627	0.050354
-0.078125	0.0531006
-0.0619507	0.0558472
-0.0485229	0.0579834
-0.0424194	0.0598145
-0.0289917	0.0613403
-0.0402832	0.0631714
-0.0186157	0.0653076
0.043335	0.0680542
0.0860596	0.071106
0.116272	0.0744629
0.116577	0.078125
0.0891113	0.0827026
0.0796509	0.0872803
0.0570679	0.0915527
0.00762939	0.09552
-0.0576782	0.0997925
-0.102234	0.104065
-0.106506	0.107727
-0.110474	0.111694
-0.0927734	0.115662
-0.100708	0.119629
-0.123291	0.123596
-0.0741577	0.127563
-0.0268555	0.131226
0.0527954	0.134888
0.139771	0.139465
0.177612	0.143738
0.194092	0.148315
0.134277	0.152588
0.0546265	0.157166
-0.0112915	0.161438
-0.0790405	0.166016
-0.0952148	0.170898
-0.118103	0.176086
-0.118713	0.181274
-0.0985718	0.186157
-0.078125	0.190735
-0.00305176	0.194397
0.0335693	0.198059
0.0576782	0.202026
0.0769043	0.205383
0.055542	0.20813
0.0784302	0.209961
0.0671387	0.212097
0.0421143	0.214844
0.0143433	0.218201
-0.0259399	0.221558
-0.0143433	0.223694
-0.00152588	0.22522
0.0222778	0.226135
0.038147	0.22644
0.0201416	0.225525
0.00732422	0.223694
-0.0363159	0.220947
-0.0802612	0.21698
-0.127563	0.211792
-0.155029	0.205078
-0.121765	0.197449
